library,islibrary
outllib.dll,TRUE
iviewers.dll,TRUE
hha.dll,TRUE
aclui.dll,TRUE
xwtpw32.dll,TRUE
xwizards.dll,TRUE
xolehlp.dll,TRUE
xmllite.dll,TRUE
wwapi.dll,TRUE
wwancfg.dll,TRUE
wtsapi32.dll,TRUE
wshelper.dll,TRUE
wshbth.dll,TRUE
wpdshext.dll,TRUE
wofutil.dll,TRUE
wmsgapi.dll,TRUE
wmpdui.dll,TRUE
wmiutils.dll,TRUE
wmidcom.dll,TRUE
wmiclnt.dll,TRUE
wlidprov.dll,TRUE
wldp.dll,TRUE
wlbsctrl.dll,TRUE
wlancfg.dll,TRUE
wlanapi.dll,TRUE
wkscli.dll,TRUE
winsta.dll,TRUE
winsqlite3.dll,TRUE
winrnr.dll,TRUE
winnsi.dll,TRUE
winmm.dll,TRUE
winmde.dll,TRUE
winipsec.dll,TRUE
wininet.dll,TRUE
winhttp.dll,TRUE
windowsudk.shellcommon.dll,TRUE
windowsperformancerecordercontrol.dll,TRUE
windowscodecsext.dll,TRUE
windowscodecs.dll,TRUE
windows.storage.search.dll,TRUE
windows.storage.dll,TRUE
winbrand.dll,TRUE
wimgapi.dll,TRUE
whhelper.dll,TRUE
wevtapi.dll,TRUE
wer.dll,TRUE
wecapi.dll,TRUE
webservices.dll,TRUE
wdscore.dll,TRUE
wdi.dll,TRUE
wcnnetsh.dll,TRUE
wcmapi.dll,TRUE
wbemsvc.dll,TRUE
wbemprox.dll,TRUE
vsstrace.dll,TRUE
vssapi.dll,TRUE
virtdisk.dll,TRUE
vaultcli.dll,TRUE
uxtheme.dll,TRUE
uxinit.dll,TRUE
utildll.dll,TRUE
userenv.dll,TRUE
upshared.dll,TRUE
updatepolicy.dll,TRUE
uiribbon.dll,TRUE
uireng.dll,TRUE
uiautomationcore.dll,TRUE
uianimation.dll,TRUE
twinui.appcore.dll,TRUE
twinapi.dll,TRUE
twext.dll,TRUE
ttdrecord.dll,TRUE
tsworkspace.dll,TRUE
tquery.dll,TRUE
timesync.dll,TRUE
tdh.dll,TRUE
tbs.dll,TRUE
tapi32.dll,TRUE
systemsettingsthresholdadminflowui.dll,TRUE
sxshared.dll,TRUE
structuredquery.dll,TRUE
staterepository.core.dll,TRUE
ssshim.dll,TRUE
sspicli.dll,TRUE
ssp_isv.exe_rsaenh.dll,TRUE
ssp.exe_rsaenh.dll,TRUE
srvcli.dll,TRUE
srpapi.dll,TRUE
srcore.dll,TRUE
srclient.dll,TRUE
sppc.dll,TRUE
spp.dll,TRUE
spectrumsyncclient.dll,TRUE
snmpapi.dll,TRUE
slc.dll,TRUE
shell32.dll,TRUE
secur32.dll,TRUE
schedcli.dll,TRUE
scecli.dll,TRUE
scansetting.dll,TRUE
sas.dll,TRUE
sapi_onecore.dll,TRUE
samlib.dll,TRUE
samcli.dll,TRUE
rtworkq.dll,TRUE
rtutils.dll,TRUE
rsaenh.dll,TRUE
rpcnsh.dll,TRUE
rmclient.dll,TRUE
resutils.dll,TRUE
resetengine.dll,TRUE
reseteng.dll,TRUE
regapi.dll,TRUE
reagent.dll,TRUE
rasmontr.dll,TRUE
rasman.dll,TRUE
rasgcw.dll,TRUE
rasapi32.dll,TRUE
radcui.dll,TRUE
puiapi.dll,TRUE
prvdmofcomp.dll,TRUE
propsys.dll,TRUE
printui.dll,TRUE
polstore.dll,TRUE
policymanager.dll,TRUE
pnrpnsp.dll,TRUE
pla.dll,TRUE
peerdistsh.dll,TRUE
pdh.dll,TRUE
pcaui.dll,TRUE
p9np.dll,TRUE
p2pnetsh.dll,TRUE
p2p.dll,TRUE
osuninst.dll,TRUE
osksupport.dll,TRUE
osbaseln.dll,TRUE
onex.dll,TRUE
omadmapi.dll,TRUE
oleacc.dll,TRUE
oci.dll,TRUE
ntshrui.dll,TRUE
ntmarta.dll,TRUE
ntlmshared.dll,TRUE
ntlanman.dll,TRUE
ntdsapi.dll,TRUE
nshwfp.dll,TRUE
nshipsec.dll,TRUE
nshhttp.dll,TRUE
npmproxy.dll,TRUE
nlansp_c.dll,TRUE
nlaapi.dll,TRUE
ninput.dll,TRUE
newdev.dll,TRUE
networkexplorer.dll,TRUE
netutils.dll,TRUE
nettrace.dll,TRUE
netshell.dll,TRUE
netsetupapi.dll,TRUE
netprofm.dll,TRUE
netplwiz.dll,TRUE
netiohlp.dll,TRUE
